image_path,true_category,predicted_category,condition,anomaly_score,is_anomaly,category_scores
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_8138.png,good,groove,background,0.4143511089202121,True,"{'breakdown': 0.32825285166652923, 'ablation': 0.35031966467685527, 'groove': 0.4054899728891899, 'fracture': 0.365192344425193}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7753.png,good,groove,background,0.5560101778858841,True,"{'breakdown': 0.46306622290343563, 'ablation': 0.5047012246212903, 'groove': 0.5519689370433261, 'fracture': 0.5055849122746876}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7747.png,good,groove,background,0.42829459053080854,True,"{'breakdown': 0.33164599733580324, 'ablation': 0.3569649219071347, 'groove': 0.4039084130944623, 'fracture': 0.36620628313342274}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7784.png,good,groove,background,0.5017215136963508,True,"{'breakdown': 0.42058044709429615, 'ablation': 0.46536458150015664, 'groove': 0.48802180762648845, 'fracture': 0.4528350108270837}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7800.png,good,ablation,background,0.6122728791658741,True,"{'breakdown': 0.5811888691486577, 'ablation': 0.6583313067760016, 'groove': 0.6452583497323312, 'fracture': 0.6118307946451972}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7785.png,good,ablation,background,0.6533325768489339,True,"{'breakdown': 0.5733495057181012, 'ablation': 0.6486478960272033, 'groove': 0.6380887626618521, 'fracture': 0.6043117590390256}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7791.png,good,groove,background,0.5840189737349235,True,"{'breakdown': 0.5269804675941029, 'ablation': 0.5914427005231858, 'groove': 0.5955454656728003, 'fracture': 0.5597724231969582}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7752.png,good,groove,background,0.49958850238099906,True,"{'breakdown': 0.4385954288417758, 'ablation': 0.4756058007157606, 'groove': 0.5274285112066323, 'fracture': 0.48108081605975056}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_8139.png,good,groove,background,0.41471052388052415,True,"{'breakdown': 0.3023160189016935, 'ablation': 0.32483507566980724, 'groove': 0.36925819012681943, 'fracture': 0.3343318399224059}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7778.png,good,groove,background,0.48686907306681587,True,"{'breakdown': 0.4168611075072206, 'ablation': 0.4515205313222912, 'groove': 0.5022789738628933, 'fracture': 0.4577131305468901}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7744.png,good,groove,background,0.5737163459525809,True,"{'breakdown': 0.45066958207863306, 'ablation': 0.4984624854115803, 'groove': 0.5233084328352368, 'fracture': 0.48540990200570433}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7787.png,good,groove,background,0.4930975865671663,True,"{'breakdown': 0.47374494965653513, 'ablation': 0.512023531099255, 'groove': 0.5729385485955374, 'fracture': 0.5211853665404057}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7793.png,good,groove,background,0.5677875438016521,True,"{'breakdown': 0.5295082093232335, 'ablation': 0.5901350387364016, 'groove': 0.6063145201974517, 'fracture': 0.5662416623500336}"
/Users/prashantronad/Documents/College/5thsemEL/AeBAD/AeBAD_S/test/good/background/IMG_7786.png,good,groove,background,0.6718645583693348,True,"{'breakdown': 0.6224886380272615, 'ablation': 0.6994467527011609, 'groove': 0.7019281056597305, 'fracture': 0.6604814268949641}"
